,precision,recall,f1-score,support
No_Hemorrhage,0.8677685950413223,0.9459459459459459,0.9051724137931034,333.0
Epidural,0.18181818181818182,0.07692307692307693,0.10810810810810811,26.0
Intraparenchymal,0.1111111111111111,0.10526315789473684,0.10810810810810811,19.0
Subdural,0.0,0.0,0.0,14.0
Intraventricular,0.0,0.0,0.0,6.0
Subarachnoid,0.0,0.0,0.0,4.0
accuracy,0.7935323383084577,0.7935323383084577,0.7935323383084577,0.7935323383084577
macro avg,0.19344964799510256,0.18802203012729332,0.18689810500155327,402.0
weighted avg,0.7358341442466273,0.7935323383084577,0.7619086533780307,402.0
